Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
190	Δ. Ανθηδώνος 	23	Ν. Ευβοίας	0404000				3	812
191	Δ. Αντιγονιδών 	17	Ν. Ημαθίας	5304000				3	816
193	Δ. Αντιχασίων 	8	Ν. Λάρισας	4204000				3	832
194	Δ. Άνω Καλαμά 	3	Ν. Ιωαννίνων	3305000				3	820
196	Δ. Άνω Πωγωνίου 	3	Ν. Ιωαννίνων	3306000				3	820
198	Δ. Ανωγείου 	22	Ν. Πρέβεζας	3402000				3	841
199	Δ. Ανωγείων 	40	Ν. Ρεθύμνου	9302000				3	842
200	Δ. Αξιού	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5406000				3	819999
201	Δ. Αξιούπολης 	51	Ν. Κιλκίς	5702000				3	826
202	Δ. Απεραντίων 	5	Ν. Ευρυτανίας	0503000				3	813
203	Δ. Αποδοτίας 	7	Ν. Αιτωλοακαρνανίας	0109000				3	801
204	Δ. Απολλωνίας	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5407000				3	819999
206	Δ. Απόλλωνος 	32	Ν. Αρκαδίας	1202000				3	803
207	Δ. Αποστόλου Παύλου 	17	Ν. Ημαθίας	5305000				3	816
208	Δ. Αρακύνθου 	7	Ν. Αιτωλοακαρνανίας	0110000				3	801
209	Δ. Αράχθου 	46	Ν. Άρτας	3105000				3	804
211	Δ. Αργαλαστής 	41	Ν. Μαγνησίας	4306000				3	835
212	Δ. Αργιθέας 	45	Ν. Καρδίτσας	4102000				3	822
216	Δ. Αρεθούσας	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5408000				3	819999
217	Δ. Αριδαίας 	4	Ν. Πέλλας	5902000				3	839
218	Δ. Άριος 	52	Ν. Μεσσηνίας	1707000				3	836
219	Δ. Αριστομένους 	52	Ν. Μεσσηνίας	1708000				3	836
220	Δ. Αρκαδίου 	40	Ν. Ρεθύμνου	9303000				3	842
222	Δ. Αρκαλοχωρίου 	10	Ν. Ηρακλείου	9103000				3	817
223	Δ. Αρμενίου 	8	Ν. Λάρισας	4205000				3	832
